region_id,region_name,province,date,year,month,transactions,in_branch_transactions,digital_transactions,digital_percentage
RG006,Brampton,Ontario,2021-05-31,2021,5,164247,26936,137310,83.6
RG007,Hamilton,Ontario,2021-05-31,2021,5,265024,102034,162989,61.5
RG008,Ottawa,Ontario,2021-05-31,2021,5,77925,15507,62417,80.1
RG009,Vancouver Downtown,British Columbia,2021-05-31,2021,5,119868,38118,81749,68.2
RG010,Vancouver East,British Columbia,2021-05-31,2021,5,117221,50053,67167,57.3
RG011,Vancouver West,British Columbia,2021-05-31,2021,5,148133,28145,119987,81.0
RG012,Burnaby,British Columbia,2021-05-31,2021,5,150897,37724,113172,75.0
RG013,Surrey,British Columbia,2021-05-31,2021,5,279984,121793,158190,56.5
RG014,Richmond,British Columbia,2021-05-31,2021,5,234956,101266,133689,56.9
RG015,Calgary Downtown,Alberta,2021-05-31,2021,5,155378,69143,86234,55.5
RG016,Calgary North,Alberta,2021-05-31,2021,5,209917,97611,112305,53.5
RG017,Calgary South,Alberta,2021-05-31,2021,5,142822,22423,120398,84.3
RG018,Edmonton Central,Alberta,2021-05-31,2021,5,177946,31140,146805,82.5
RG019,Edmonton West,Alberta,2021-05-31,2021,5,43587,19221,24365,55.9
RG020,Montreal Central,Quebec,2021-05-31,2021,5,52739,20093,32645,61.9
RG021,Montreal East,Quebec,2021-05-31,2021,5,107247,47939,59307,55.3
RG022,Montreal West,Quebec,2021-05-31,2021,5,151100,25082,126017,83.4
RG023,Laval,Quebec,2021-05-31,2021,5,97110,46030,51079,52.6
RG024,Quebec City,Quebec,2021-05-31,2021,5,61350,26196,35153,57.3
RG001,Toronto Central,Ontario,2021-06-30,2021,6,267126,61171,205954,77.1
RG002,Toronto North,Ontario,2021-06-30,2021,6,298588,130482,168105,56.3
RG003,Toronto East,Ontario,2021-06-30,2021,6,228362,62799,165562,72.5
RG004,Toronto West,Ontario,2021-06-30,2021,6,229132,92111,137020,59.8
RG005,Mississauga,Ontario,2021-06-30,2021,6,221438,33215,188222,85.0
RG006,Brampton,Ontario,2021-06-30,2021,6,165100,27076,138023,83.6
RG007,Hamilton,Ontario,2021-06-30,2021,6,289615,111501,178113,61.5
RG008,Ottawa,Ontario,2021-06-30,2021,6,80977,16114,64862,80.1
RG009,Vancouver Downtown,British Columbia,2021-06-30,2021,6,133854,42565,91288,68.2
RG010,Vancouver East,British Columbia,2021-06-30,2021,6,122537,52323,70213,57.3
RG011,Vancouver West,British Columbia,2021-06-30,2021,6,152753,29023,123729,81.0
RG012,Burnaby,British Columbia,2021-06-30,2021,6,167509,41877,125631,75.0
RG013,Surrey,British Columbia,2021-06-30,2021,6,271159,117954,153204,56.5
RG014,Richmond,British Columbia,2021-06-30,2021,6,245901,105983,139917,56.9
RG015,Calgary Downtown,Alberta,2021-06-30,2021,6,165730,73749,91980,55.5
RG016,Calgary North,Alberta,2021-06-30,2021,6,219137,101898,117238,53.5
RG017,Calgary South,Alberta,2021-06-30,2021,6,141773,22258,119514,84.3
RG018,Edmonton Central,Alberta,2021-06-30,2021,6,177041,30982,146058,82.5
RG019,Edmonton West,Alberta,2021-06-30,2021,6,44103,19449,24653,55.9
RG020,Montreal Central,Quebec,2021-06-30,2021,6,54834,20891,33942,61.9
RG021,Montreal East,Quebec,2021-06-30,2021,6,113676,50813,62862,55.3
RG022,Montreal West,Quebec,2021-06-30,2021,6,151165,25093,126071,83.4
RG023,Laval,Quebec,2021-06-30,2021,6,96737,45853,50883,52.6
RG024,Quebec City,Quebec,2021-06-30,2021,6,61068,26076,34991,57.3
RG001,Toronto Central,Ontario,2021-07-30,2021,7,274014,62749,211264,77.1
RG002,Toronto North,Ontario,2021-07-30,2021,7,292350,127756,164593,56.3
RG003,Toronto East,Ontario,2021-07-30,2021,7,221710,60970,160739,72.5
RG004,Toronto West,Ontario,2021-07-30,2021,7,220873,88790,132082,59.8
RG005,Mississauga,Ontario,2021-07-30,2021,7,207843,31176,176666,85.0
RG006,Brampton,Ontario,2021-07-30,2021,7,166114,27242,138871,83.6
RG007,Hamilton,Ontario,2021-07-30,2021,7,287377,110640,176736,61.5
RG008,Ottawa,Ontario,2021-07-30,2021,7,82802,16477,66324,80.1
RG009,Vancouver Downtown,British Columbia,2021-07-30,2021,7,127374,40504,86869,68.2
RG010,Vancouver East,British Columbia,2021-07-30,2021,7,119914,51203,68710,57.3
RG011,Vancouver West,British Columbia,2021-07-30,2021,7,148266,28170,120095,81.0
RG012,Burnaby,British Columbia,2021-07-30,2021,7,154426,38606,115819,75.0
RG013,Surrey,British Columbia,2021-07-30,2021,7,293394,127626,165767,56.5
RG014,Richmond,British Columbia,2021-07-30,2021,7,236158,101784,134373,56.9
RG015,Calgary Downtown,Alberta,2021-07-30,2021,7,164353,73137,91215,55.5
RG016,Calgary North,Alberta,2021-07-30,2021,7,213927,99476,114450,53.5
RG017,Calgary South,Alberta,2021-07-30,2021,7,143160,22476,120683,84.3
RG018,Edmonton Central,Alberta,2021-07-30,2021,7,187299,32777,154521,82.5
RG019,Edmonton West,Alberta,2021-07-30,2021,7,46248,20395,25852,55.9
RG020,Montreal Central,Quebec,2021-07-30,2021,7,58597,22325,36271,61.9
RG021,Montreal East,Quebec,2021-07-30,2021,7,111255,49730,61524,55.3
RG022,Montreal West,Quebec,2021-07-30,2021,7,165198,27422,137775,83.4
RG023,Laval,Quebec,2021-07-30,2021,7,103463,49041,54421,52.6
RG024,Quebec City,Quebec,2021-07-30,2021,7,63435,27086,36348,57.3
RG001,Toronto Central,Ontario,2021-08-29,2021,8,267241,61198,206042,77.1
RG002,Toronto North,Ontario,2021-08-29,2021,8,294593,128737,165855,56.3
RG003,Toronto East,Ontario,2021-08-29,2021,8,212504,58438,154065,72.5
RG004,Toronto West,Ontario,2021-08-29,2021,8,236796,95191,141604,59.8
RG005,Mississauga,Ontario,2021-08-29,2021,8,221662,33249,188412,85.0
RG006,Brampton,Ontario,2021-08-29,2021,8,175213,28734,146478,83.6
RG007,Hamilton,Ontario,2021-08-29,2021,8,279994,107797,172196,61.5
RG008,Ottawa,Ontario,2021-08-29,2021,8,79344,15789,63554,80.1
RG009,Vancouver Downtown,British Columbia,2021-08-29,2021,8,136701,43470,93230,68.2
RG010,Vancouver East,British Columbia,2021-08-29,2021,8,115105,49149,65955,57.3
RG011,Vancouver West,British Columbia,2021-08-29,2021,8,146563,27846,118716,81.0
RG012,Burnaby,British Columbia,2021-08-29,2021,8,159730,39932,119797,75.0
RG013,Surrey,British Columbia,2021-08-29,2021,8,285356,124129,161226,56.5
RG014,Richmond,British Columbia,2021-08-29,2021,8,244490,105375,139114,56.9
RG015,Calgary Downtown,Alberta,2021-08-29,2021,8,158912,70715,88196,55.5
RG016,Calgary North,Alberta,2021-08-29,2021,8,223282,103826,119455,53.5
RG017,Calgary South,Alberta,2021-08-29,2021,8,154131,24198,129932,84.3
RG018,Edmonton Central,Alberta,2021-08-29,2021,8,178683,31269,147413,82.5
RG019,Edmonton West,Alberta,2021-08-29,2021,8,42646,18806,23839,55.9
RG020,Montreal Central,Quebec,2021-08-29,2021,8,57983,22091,35891,61.9
RG021,Montreal East,Quebec,2021-08-29,2021,8,111473,49828,61644,55.3
RG022,Montreal West,Quebec,2021-08-29,2021,8,160303,26610,133692,83.4
RG023,Laval,Quebec,2021-08-29,2021,8,102948,48797,54150,52.6
RG024,Quebec City,Quebec,2021-08-29,2021,8,63717,27207,36509,57.3
RG001,Toronto Central,Ontario,2021-09-28,2021,9,272977,62511,210465,77.1
RG002,Toronto North,Ontario,2021-09-28,2021,9,286719,125296,161422,56.3
RG003,Toronto East,Ontario,2021-09-28,2021,9,209881,57717,152163,72.5
RG004,Toronto West,Ontario,2021-09-28,2021,9,225997,90850,135146,59.8
RG005,Mississauga,Ontario,2021-09-28,2021,9,198443,29766,168676,85.0
RG006,Brampton,Ontario,2021-09-28,2021,9,151368,24824,126543,83.6
RG007,Hamilton,Ontario,2021-09-28,2021,9,275110,105917,169192,61.5
RG008,Ottawa,Ontario,2021-09-28,2021,9,82097,16337,65759,80.1
RG009,Vancouver Downtown,British Columbia,2021-09-28,2021,9,131407,41787,89619,68.2
RG010,Vancouver East,British Columbia,2021-09-28,2021,9,109997,46968,63028,57.3
RG011,Vancouver West,British Columbia,2021-09-28,2021,9,139939,26588,113350,81.0
RG012,Burnaby,British Columbia,2021-09-28,2021,9,155675,38918,116756,75.0
RG013,Surrey,British Columbia,2021-09-28,2021,9,272803,118669,154133,56.5
RG014,Richmond,British Columbia,2021-09-28,2021,9,228928,98667,130260,56.9
RG015,Calgary Downtown,Alberta,2021-09-28,2021,9,157424,70053,87370,55.5
RG016,Calgary North,Alberta,2021-09-28,2021,9,206709,96119,110589,53.5
RG017,Calgary South,Alberta,2021-09-28,2021,9,137084,21522,115561,84.3
RG018,Edmonton Central,Alberta,2021-09-28,2021,9,169094,29591,139502,82.5
RG019,Edmonton West,Alberta,2021-09-28,2021,9,44437,19596,24840,55.9
RG020,Montreal Central,Quebec,2021-09-28,2021,9,55745,21238,34506,61.9
RG021,Montreal East,Quebec,2021-09-28,2021,9,109319,48865,60453,55.3
RG022,Montreal West,Quebec,2021-09-28,2021,9,154729,25685,129043,83.4
RG023,Laval,Quebec,2021-09-28,2021,9,91470,43356,48113,52.6
RG024,Quebec City,Quebec,2021-09-28,2021,9,59121,25244,33876,57.3
RG001,Toronto Central,Ontario,2021-10-28,2021,10,260600,59677,200922,77.1
RG002,Toronto North,Ontario,2021-10-28,2021,10,279304,122055,157248,56.3
RG003,Toronto East,Ontario,2021-10-28,2021,10,212183,58350,153832,72.5
RG004,Toronto West,Ontario,2021-10-28,2021,10,228749,91957,136791,59.8
RG005,Mississauga,Ontario,2021-10-28,2021,10,210101,31515,178585,85.0
RG006,Brampton,Ontario,2021-10-28,2021,10,154573,25349,129223,83.6
RG007,Hamilton,Ontario,2021-10-28,2021,10,277826,106963,170862,61.5
RG008,Ottawa,Ontario,2021-10-28,2021,10,75743,15072,60670,80.1
RG009,Vancouver Downtown,British Columbia,2021-10-28,2021,10,125384,39872,85511,68.2
RG010,Vancouver East,British Columbia,2021-10-28,2021,10,119127,50867,68259,57.3
RG011,Vancouver West,British Columbia,2021-10-28,2021,10,145930,27726,118203,81.0
RG012,Burnaby,British Columbia,2021-10-28,2021,10,151567,37891,113675,75.0
RG013,Surrey,British Columbia,2021-10-28,2021,10,273152,118821,154330,56.5
RG014,Richmond,British Columbia,2021-10-28,2021,10,233971,100841,133129,56.9
RG015,Calgary Downtown,Alberta,2021-10-28,2021,10,152291,67769,84521,55.5
RG016,Calgary North,Alberta,2021-10-28,2021,10,206673,96102,110570,53.5
RG017,Calgary South,Alberta,2021-10-28,2021,10,143028,22455,120572,84.3
RG018,Edmonton Central,Alberta,2021-10-28,2021,10,175461,30705,144755,82.5
RG019,Edmonton West,Alberta,2021-10-28,2021,10,43233,19065,24167,55.9
RG020,Montreal Central,Quebec,2021-10-28,2021,10,56944,21695,35248,61.9
RG021,Montreal East,Quebec,2021-10-28,2021,10,101909,45553,56355,55.3
RG022,Montreal West,Quebec,2021-10-28,2021,10,146152,24261,121890,83.4
RG023,Laval,Quebec,2021-10-28,2021,10,97543,46235,51307,52.6
RG024,Quebec City,Quebec,2021-10-28,2021,10,58289,24889,33399,57.3
RG001,Toronto Central,Ontario,2021-11-27,2021,11,319384,73138,246245,77.1
RG002,Toronto North,Ontario,2021-11-27,2021,11,312546,136582,175963,56.3
RG003,Toronto East,Ontario,2021-11-27,2021,11,249856,68710,181145,72.5
RG004,Toronto West,Ontario,2021-11-27,2021,11,243317,97813,145503,59.8
RG005,Mississauga,Ontario,2021-11-27,2021,11,251874,37781,214092,85.0
RG006,Brampton,Ontario,2021-11-27,2021,11,181700,29798,151901,83.6
RG007,Hamilton,Ontario,2021-11-27,2021,11,312523,120321,192201,61.5
RG008,Ottawa,Ontario,2021-11-27,2021,11,89934,17896,72037,80.1
RG009,Vancouver Downtown,British Columbia,2021-11-27,2021,11,150422,47834,102587,68.2
RG010,Vancouver East,British Columbia,2021-11-27,2021,11,139047,59373,79673,57.3
RG011,Vancouver West,British Columbia,2021-11-27,2021,11,168447,32004,136442,81.0
RG012,Burnaby,British Columbia,2021-11-27,2021,11,184805,46201,138603,75.0
RG013,Surrey,British Columbia,2021-11-27,2021,11,304867,132617,172249,56.5
RG014,Richmond,British Columbia,2021-11-27,2021,11,263670,113641,150028,56.9
RG015,Calgary Downtown,Alberta,2021-11-27,2021,11,181045,80565,100479,55.5
RG016,Calgary North,Alberta,2021-11-27,2021,11,226072,105123,120948,53.5
RG017,Calgary South,Alberta,2021-11-27,2021,11,169891,26672,143218,84.3
RG018,Edmonton Central,Alberta,2021-11-27,2021,11,195725,34251,161473,82.5
RG019,Edmonton West,Alberta,2021-11-27,2021,11,48453,21367,27085,55.9
RG020,Montreal Central,Quebec,2021-11-27,2021,11,64656,24633,40022,61.9
RG021,Montreal East,Quebec,2021-11-27,2021,11,121400,54265,67134,55.3
RG022,Montreal West,Quebec,2021-11-27,2021,11,172511,28636,143874,83.4
RG023,Laval,Quebec,2021-11-27,2021,11,110046,52161,57884,52.6
RG024,Quebec City,Quebec,2021-11-27,2021,11,72026,30755,41270,57.3
RG001,Toronto Central,Ontario,2021-12-27,2021,12,308496,70645,237850,77.1
RG002,Toronto North,Ontario,2021-12-27,2021,12,328629,143610,185018,56.3
RG003,Toronto East,Ontario,2021-12-27,2021,12,235239,64690,170548,72.5
RG004,Toronto West,Ontario,2021-12-27,2021,12,255546,102729,152816,59.8
RG005,Mississauga,Ontario,2021-12-27,2021,12,241628,36244,205383,85.0
RG006,Brampton,Ontario,2021-12-27,2021,12,192099,31504,160594,83.6
RG007,Hamilton,Ontario,2021-12-27,2021,12,292304,112537,179766,61.5
RG008,Ottawa,Ontario,2021-12-27,2021,12,95604,19025,76578,80.1
RG009,Vancouver Downtown,British Columbia,2021-12-27,2021,12,137982,43878,94103,68.2
RG010,Vancouver East,British Columbia,2021-12-27,2021,12,135104,57689,77414,57.3
RG011,Vancouver West,British Columbia,2021-12-27,2021,12,159740,30350,129389,81.0
RG012,Burnaby,British Columbia,2021-12-27,2021,12,180640,45160,135480,75.0
RG013,Surrey,British Columbia,2021-12-27,2021,12,325198,141461,183736,56.5
RG014,Richmond,British Columbia,2021-12-27,2021,12,281436,121298,160137,56.9
RG015,Calgary Downtown,Alberta,2021-12-27,2021,12,184781,82227,102553,55.5
RG016,Calgary North,Alberta,2021-12-27,2021,12,249064,115814,133249,53.5
RG017,Calgary South,Alberta,2021-12-27,2021,12,160355,25175,135179,84.3
RG018,Edmonton Central,Alberta,2021-12-27,2021,12,202065,35361,166703,82.5
RG019,Edmonton West,Alberta,2021-12-27,2021,12,47634,21006,26627,55.9
RG020,Montreal Central,Quebec,2021-12-27,2021,12,61750,23526,38223,61.9
RG021,Montreal East,Quebec,2021-12-27,2021,12,127500,56992,70507,55.3
RG022,Montreal West,Quebec,2021-12-27,2021,12,173024,28721,144302,83.4
RG023,Laval,Quebec,2021-12-27,2021,12,110138,52205,57932,52.6
RG024,Quebec City,Quebec,2021-12-27,2021,12,67548,28842,38705,57.3
RG001,Toronto Central,Ontario,2022-01-26,2022,1,248439,56892,191546,77.1
RG002,Toronto North,Ontario,2022-01-26,2022,1,246080,107536,138543,56.3
RG003,Toronto East,Ontario,2022-01-26,2022,1,185043,50886,134156,72.5
RG004,Toronto West,Ontario,2022-01-26,2022,1,197369,79342,118026,59.8
RG005,Mississauga,Ontario,2022-01-26,2022,1,187854,28178,159675,85.0
RG006,Brampton,Ontario,2022-01-26,2022,1,138134,22653,115480,83.6
RG007,Hamilton,Ontario,2022-01-26,2022,1,237196,91320,145875,61.5
RG008,Ottawa,Ontario,2022-01-26,2022,1,73532,14632,58899,80.1
RG009,Vancouver Downtown,British Columbia,2022-01-26,2022,1,117434,37344,80089,68.2
RG010,Vancouver East,British Columbia,2022-01-26,2022,1,103512,44199,59312,57.3
RG011,Vancouver West,British Columbia,2022-01-26,2022,1,133838,25429,108408,81.0
RG012,Burnaby,British Columbia,2022-01-26,2022,1,140702,35175,105526,75.0
RG013,Surrey,British Columbia,2022-01-26,2022,1,255215,111018,144196,56.5
RG014,Richmond,British Columbia,2022-01-26,2022,1,206399,88957,117441,56.9
RG015,Calgary Downtown,Alberta,2022-01-26,2022,1,144654,64371,80282,55.5
RG016,Calgary North,Alberta,2022-01-26,2022,1,179158,83308,95849,53.5
RG017,Calgary South,Alberta,2022-01-26,2022,1,121159,19021,102137,84.3
RG018,Edmonton Central,Alberta,2022-01-26,2022,1,158078,27663,130414,82.5
RG019,Edmonton West,Alberta,2022-01-26,2022,1,38425,16945,21479,55.9
RG020,Montreal Central,Quebec,2022-01-26,2022,1,49336,18797,30538,61.9
RG021,Montreal East,Quebec,2022-01-26,2022,1,97858,43742,54115,55.3
RG022,Montreal West,Quebec,2022-01-26,2022,1,141086,23420,117665,83.4
RG023,Laval,Quebec,2022-01-26,2022,1,84830,40209,44620,52.6
RG024,Quebec City,Quebec,2022-01-26,2022,1,55549,23719,31829,57.3
RG001,Toronto Central,Ontario,2022-02-25,2022,2,253149,57971,195177,77.1
RG002,Toronto North,Ontario,2022-02-25,2022,2,238264,104121,134142,56.3
RG003,Toronto East,Ontario,2022-02-25,2022,2,187722,51623,136098,72.5
RG004,Toronto West,Ontario,2022-02-25,2022,2,195117,78437,116679,59.8
RG005,Mississauga,Ontario,2022-02-25,2022,2,185135,27770,157364,85.0
RG006,Brampton,Ontario,2022-02-25,2022,2,137484,22547,114936,83.6
